data,value
2020-06-12,304.21
2020-06-11,300.61
2020-06-10,319
2020-06-09,320.79
2020-06-08,323.2
2020-06-05,319.34
2020-06-04,311.36
2020-06-03,312.18
2020-06-02,308.08
2020-06-01,305.55
2020-05-29,304.32
2020-05-28,302.97
2020-05-27,303.53
2020-05-26,299.08
2020-05-22,295.44
2020-05-21,294.88
2020-05-20,296.93
2020-05-19,291.97
2020-05-18,295
2020-05-15,286.28
2020-05-14,284.97
2020-05-13,281.6
2020-05-12,286.67
2020-05-11,292.5
2020-05-08,292.44
2020-05-07,287.68
2020-05-06,284.25
2020-05-05,286.19
2020-05-04,283.57
2020-05-01,282.79
2020-04-30,290.48
2020-04-29,293.21
2020-04-28,285.73
2020-04-27,287.05
2020-04-24,282.97
2020-04-23,279.08
2020-04-22,279.1
2020-04-21,273.04
2020-04-20,281.59
2020-04-17,286.64
2020-04-16,279.1
2020-04-15,277.76
2020-04-14,283.79
2020-04-13,275.66
2020-04-09,278.2
2020-04-08,274.03
2020-04-07,265.13
2020-04-06,264.86
2020-04-03,248.19
2020-04-02,251.83
2020-04-01,246.15
2020-03-31,257.75
2020-03-30,261.65
2020-03-27,253.42
2020-03-26,261.2
2020-03-25,246.79
2020-03-24,243.15
2020-03-23,222.95
2020-03-20,228.8
2020-03-19,240.51
2020-03-18,240
2020-03-17,252.8
2020-03-16,239.85
2020-03-13,269.32
2020-03-12,248.11
2020-03-11,274.36
2020-03-10,288.42
2020-03-09,274.23
2020-03-06,297.46
2020-03-05,302.46
2020-03-04,312.86
2020-03-03,300.24
2020-03-02,309.09
2020-02-28,296.26
2020-02-27,297.51
2020-02-26,311.5
2020-02-25,312.65
2020-02-24,322.42
2020-02-21,333.48
2020-02-20,336.95
2020-02-19,338.34
2020-02-18,336.73
2020-02-14,337.6
2020-02-13,337.06
2020-02-12,337.42
2020-02-11,335.26
2020-02-10,334.68
2020-02-07,332.2
2020-02-06,333.98
2020-02-05,332.86
2020-02-04,329.06
2020-02-03,324.12
2020-01-31,321.73
2020-01-30,327.68
2020-01-29,326.62
2020-01-28,326.89
2020-01-27,323.5
2020-01-24,328.77
2020-01-23,331.72
2020-01-22,331.34
2020-01-21,331.3
2020-01-17,331.95
2020-01-16,330.92
2020-01-15,328.19
2020-01-14,327.45
2020-01-13,327.95
2020-01-10,325.71
2020-01-09,326.65
2020-01-08,324.45
2020-01-07,322.73
2020-01-06,323.64
2020-01-03,322.41
2020-01-02,324.87
2019-12-31,321.86
2019-12-30,321.08
2019-12-27,322.86
2019-12-26,322.94
2019-12-24,321.23
2019-12-23,321.22
2019-12-20,320.73
2019-12-19,320.9
2019-12-18,319.59
2019-12-17,319.57
2019-12-16,319.5
2019-12-13,317.32
2019-12-12,317.13
2019-12-11,314.42
2019-12-10,313.53
2019-12-09,313.88
2019-12-06,314.87
2019-12-05,312.02
2019-12-04,311.46
2019-12-03,309.55
2019-12-02,311.64
2019-11-29,314.31
2019-11-27,315.48
2019-11-26,314.08
2019-11-25,313.37
2019-11-22,310.96
2019-11-21,310.27
2019-11-20,310.77
2019-11-19,311.93
2019-11-18,312.02
2019-11-15,311.79
2019-11-14,309.55
2019-11-13,309.1
2019-11-12,309
2019-11-11,308.35
2019-11-08,308.94
2019-11-07,308.18
2019-11-06,307.1
2019-11-05,307.03
2019-11-04,307.37
2019-11-01,306.14
2019-10-31,303.33
2019-10-30,304.14
2019-10-29,303.21
2019-10-28,303.3
2019-10-25,301.6
2019-10-24,300.37
2019-10-23,299.88
2019-10-22,299.01
2019-10-21,299.99
2019-10-18,297.97
2019-10-17,299.28
2019-10-16,298.4
2019-10-15,298.88
2019-10-14,295.95
2019-10-11,296.28
2019-10-10,293.24
2019-10-09,291.27
2019-10-08,288.53
2019-10-07,293.08
2019-10-04,294.35
2019-10-03,290.42
2019-10-02,288.06
2019-10-01,293.24
2019-09-30,296.77
2019-09-27,295.4
2019-09-26,297
2019-09-25,297.62
2019-09-24,295.87
2019-09-23,298.21
2019-09-20,298.28
2019-09-19,301.08
2019-09-18,301.1
2019-09-17,300.92
2019-09-16,300.16
2019-09-13,301.09
2019-09-12,301.29
2019-09-11,300.25
2019-09-10,298.13
2019-09-09,298.2
2019-09-06,298.05
2019-09-05,297.82
2019-09-04,294.04
2019-09-03,290.74
2019-08-30,292.45
2019-08-29,292.58
2019-08-28,288.89
2019-08-27,286.87
2019-08-26,288
2019-08-23,284.85
2019-08-22,292.36
2019-08-21,292.45
2019-08-20,290.09
2019-08-19,292.33
2019-08-16,288.85
2019-08-15,284.65
2019-08-14,283.9
2019-08-13,292.55
2019-08-12,288.07
2019-08-09,291.62
2019-08-08,293.62
2019-08-07,287.97
2019-08-06,287.8
2019-08-05,283.82
2019-08-02,292.62
2019-08-01,294.84
2019-07-31,297.43
2019-07-30,300.72
2019-07-29,301.46
2019-07-26,302.01
2019-07-25,300
2019-07-24,301.44
2019-07-23,300.03
2019-07-22,297.9
2019-07-19,297.17
2019-07-18,298.83
2019-07-17,297.74
2019-07-16,299.71
2019-07-15,300.75
2019-07-12,300.65
2019-07-11,299.31
2019-07-10,298.61
2019-07-09,297.19
2019-07-08,296.82
2019-07-05,298.46
2019-07-03,298.8
2019-07-02,296.43
2019-07-01,295.66
2019-06-28,293
2019-06-27,291.5
2019-06-26,290.47
2019-06-25,290.76
2019-06-24,293.64
2019-06-21,294
2019-06-20,295.86
2019-06-19,293.06
2019-06-18,292.4
2019-06-17,289.37
2019-06-14,289.26
2019-06-13,289.58
